Exchange,Ipaddr4,Ipaddr6,Speed,Url,Date
ECIX-DUS,             194.146.118.134        ,             2001:7f8:8::b5a:0:1         ,             100G        ,https://www.peeringdb.com/ix/91,2018-07-16
ECIX-DUS,             194.146.118.135        ,             2001:7f8:8::b5a:0:2         ,             100G        ,https://www.peeringdb.com/ix/91,2018-07-16
ECIX-FRA,             62.69.146.34        ,             2001:7f8:8:20:0:b5a:0:1         ,             50G        ,https://www.peeringdb.com/ix/676,2018-07-16
ECIX-FRA,             62.69.146.35        ,             2001:7f8:8:20:0:b5a:0:2         ,             50G        ,https://www.peeringdb.com/ix/676,2018-07-16
Equinix Ashburn,             206.126.236.238        ,             2001:504:0:2::2906:1         ,             100G        ,https://www.peeringdb.com/ix/1,2018-07-16
Equinix Chicago,             208.115.136.156        ,             2001:504:0:4::2906:1         ,             100G        ,https://www.peeringdb.com/ix/2,2018-07-16
Equinix Chicago,             208.115.136.200        ,             2001:504:0:4::2906:2         ,             100G        ,https://www.peeringdb.com/ix/2,2018-07-16
Equinix Dallas,             206.223.118.156        ,             2001:504:0:5::2906:1         ,             100G        ,https://www.peeringdb.com/ix/3,2018-07-16
Equinix Dallas,             206.223.118.157        ,             2001:504:0:5::2906:2         ,             100G        ,https://www.peeringdb.com/ix/3,2018-07-16
Equinix Hong Kong,             119.27.63.105        ,             2001:de8:7::2906:1         ,             10G        ,https://www.peeringdb.com/ix/125,2018-07-16
Equinix Hong Kong,             119.27.63.111        ,             2001:de8:7::2906:2         ,             10G        ,https://www.peeringdb.com/ix/125,2018-07-16
Equinix New York,             198.32.118.176        ,             2001:504:f::2906:1         ,             20G        ,https://www.peeringdb.com/ix/12,2018-07-16
Equinix Paris,             195.42.145.45        ,             2001:7f8:43::2906:1         ,             10G        ,https://www.peeringdb.com/ix/255,2018-07-16
Equinix San Jose,             206.223.116.133        ,             2001:504:0:1::2906:2         ,             20G        ,https://www.peeringdb.com/ix/5,2018-07-16
Equinix Singapore,             27.111.228.200        ,             2001:de8:4::2906:1         ,             20G        ,https://www.peeringdb.com/ix/158,2018-07-16
Equinix Singapore,             27.111.228.210        ,             2001:de8:4::2906:2         ,             20G        ,https://www.peeringdb.com/ix/158,2018-07-16
Equinix Sydney,             45.127.172.200        ,             2001:de8:6::2906:1         ,             20G        ,https://www.peeringdb.com/ix/94,2018-07-16
Equinix Sydney,             45.127.172.237        ,             2001:de8:6::2906:2         ,             20G        ,https://www.peeringdb.com/ix/94,2018-07-16
Equinix Tokyo,             203.190.230.110        ,             2001:de8:5::2906:1         ,             10G        ,https://www.peeringdb.com/ix/167,2018-07-16
Equinix Tokyo,             203.190.230.111        ,             2001:de8:5::2906:2         ,             10G        ,https://www.peeringdb.com/ix/167,2018-07-16
Equinix Warsaw (PLIX),             195.182.218.195        ,             2001:7f8:42::a500:2906:1         ,             100G        ,https://www.peeringdb.com/ix/264,2018-07-16
Equinix Warsaw (PLIX),             195.182.219.195        ,             2001:7f8:42::a500:2906:2         ,             100G        ,https://www.peeringdb.com/ix/264,2018-07-16
Equinix Zurich,             194.42.48.97        ,             2001:7f8:c:8235:194:42:48:97         ,             10G        ,https://www.peeringdb.com/ix/29,2018-07-16
ESPANIX Madrid Lower LAN,             193.149.1.69        ,             2001:7f8:f::75         ,             10G        ,https://www.peeringdb.com/ix/63,2018-07-16
ESPANIX Madrid Lower LAN,             193.149.1.73        ,             2001:7f8:f::76         ,             10G        ,https://www.peeringdb.com/ix/63,2018-07-16
Extreme IX Delhi,             45.120.248.16        ,             2001:df2:1900:1::16         ,             20G        ,https://www.peeringdb.com/ix/1323,2018-07-16
Extreme IX Mumbai,             103.77.108.143        ,             2001:df2:1900:2::143         ,             10G        ,https://www.peeringdb.com/ix/1627,2018-07-16
Extreme IX Mumbai,             103.77.108.144        ,             2001:df2:1900:2::144         ,             10G        ,https://www.peeringdb.com/ix/1627,2018-07-16
FICIX Helsinki,             193.110.224.32        ,             2001:7f8:7:1::2906:1         ,             10G        ,https://www.peeringdb.com/ix/98,2018-07-16
FICIX Helsinki,,             2001:7f8:7:b::2906:1         ,             10G        ,https://www.peeringdb.com/ix/98,2018-07-16
FL-IX,             206.41.108.10        ,             2001:504:40:108::1:10         ,             100G        ,https://www.peeringdb.com/ix/954,2018-07-16
